State,1,2,3,4,5,6,7
0-0-0,1.000000,1.962963,2.662551,3.014632,3.175685,3.247772,3.279867
1-0-0,1.000000,1.962963,2.662551,3.014632,3.175685,3.247772,3.279867
1-1-0,1.000000,1.925926,2.485597,2.750800,2.870497,2.923899,2.947656
1-1-1,1.000000,1.888889,2.358025,2.574760,2.672001,2.715321,2.734586
2-0-0,1.000000,1.740741,2.144033,2.331504,2.415739,2.453279,2.469974
2-1-0,1.000000,1.703704,2.053498,2.213077,2.284459,2.316235,2.330363
2-1-1,1.000000,1.666667,1.987654,2.133059,2.197988,2.226879,2.239724
2-2-0,1.000000,1.555556,1.814815,1.931413,1.983387,2.006503,2.016779
3-0-0,1.000000,1.296296,1.427984,1.486511,1.512523,1.524085,1.529223
3-1-0,1.000000,1.296296,1.427984,1.486511,1.512523,1.524085,1.529223
4-0-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
