State,1,2,3,4,5,6,7
0-0-0,0.962963,0.699588,0.352080,0.161053,0.072087,0.032095,0.014300
1-0-0,0.962963,0.699588,0.352080,0.161053,0.072087,0.032095,0.014271
1-1-0,0.925926,0.559671,0.265203,0.119697,0.053402,0.023757,0.010561
1-1-1,0.888889,0.469136,0.216735,0.097241,0.043320,0.019265,0.008563
2-0-0,0.740741,0.403292,0.187471,0.084235,0.037539,0.016695,0.007421
2-1-0,0.703704,0.349794,0.159579,0.071381,0.031776,0.014128,0.006280
2-1-1,0.666667,0.320988,0.145405,0.064929,0.028891,0.012844,0.005709
2-2-0,0.555556,0.259259,0.116598,0.051974,0.023116,0.010276,0.004567
3-0-0,0.296296,0.131687,0.058528,0.026012,0.011561,0.005138,0.002284
3-1-0,0.296296,0.131687,0.058528,0.026012,0.011561,0.005138,0.002284
4-0-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
