State,1,2,3,4,5,6,7
0-0-0,0.037037,0.263374,0.347508,0.191028,0.088966,0.039992,0.017795
1-0-0,0.037037,0.263374,0.347508,0.191028,0.088966,0.039992,0.017824
1-1-0,0.074074,0.366255,0.294467,0.145506,0.066295,0.029645,0.013196
1-1-1,0.111111,0.419753,0.252401,0.119494,0.053921,0.024055,0.010701
2-0-0,0.259259,0.337449,0.215821,0.103236,0.046696,0.020844,0.009274
2-1-0,0.296296,0.353909,0.190215,0.088198,0.039606,0.017648,0.007848
2-1-1,0.333333,0.345679,0.175583,0.080476,0.036038,0.016047,0.007135
2-2-0,0.444444,0.296296,0.142661,0.064624,0.028857,0.012841,0.005709
3-0-0,0.703704,0.164609,0.073160,0.032515,0.014451,0.006423,0.002855
3-1-0,0.703704,0.164609,0.073160,0.032515,0.014451,0.006423,0.002855
4-0-0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
