Tiles Drawn,4-0-0,3-1-0,3-0-0,2-2-0,2-1-1,2-1-0,2-0-0,1-1-1,1-1-0,1-0-0,0-0-0
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
2,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.67,0.00,0.00
3,0.00,0.00,0.11,0.00,0.00,0.67,0.00,0.22,0.00,0.00,0.00
4,0.04,0.30,0.00,0.22,0.44,0.00,0.00,0.00,0.00,0.00,0.00
5,0.14,0.49,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.30,0.58,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0.49,0.47,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0.65,0.34,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0.76,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0.84,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0.89,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0.93,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0.95,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0.97,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0.98,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
